Sentinel,Oracle Tower,"<Ultimate Structure> Put down 1 structure token. the structure gets ""while active. the owner can draw 1 extra card per turn"". All other Ultimate Sentinel Cards now have no effect. redraw if you draw one",ORACLE_TOWER.png
Haxxor,C104K (cloak),"You gain the effect ""Cannot be attacked"" for 1 sentinel turn",CLOAK.png
Haxxor,B1G 5T3P5 (Big Steps),Move 1 Space,BIG_STEPS.png
Haxxor,4RC4N3 B01T (Arcane Bolt),Select 1 Tier 1 Digital. Deal 1 DMG to it,ARCANE_BOLT.png
Haxxor,MI9HTY PU5H (Mighty Push),Select 1 Digital or Structure. Push it 1 space,MIGHTY_PUSH.png
Haxxor,53C0ND W1ND (Second Wind),REACTION: When your character moves. select 1 adjacent Digital or Structure. Deal 1 DMG to it,SECOND_WIND.png
Haxxor,Bypass,Negates an ability. Lock this card after use,BYPASS.png
Haxxor,4B5TR4CT10N (Abstraction),Target a Digital. they cannot use abilities for 2 turns,ABSTRACTION.png
Haxxor,5UR93 (Surge),Select a Digital. Deal 2 DMG to it,SURGE.png
Haxxor,F1R3B411 (Fireball),Select a hexagon. Deal 1 DMG to this hexagon and all adjacent hexagons,FIREBALL.png
Haxxor,XLR8,<Ultimate> You can now move 2 spaces per turn. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one,XLR8.png
Haxxor,4RM493DD0N (Armageddon),<Ultimate> Destroy all summoned digitals. your health is now at 1. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one,ARMAGEDDON.png
Haxxor,Call It!,Select a hexagon. if there is a trap on that hexagon. destroy it,CALL_IT.png
Haxxor,Refresh,Choose 1 Non-Ultimate Card in the Play pile. return it to the deck and suffle,REFRESH.png
Haxxor,Data Leak,Choose 1 Card in the sentinel's hand and they have to reveal it.,DATA_LEAK.png
Haxxor,Oracle Sight,Look at the top 3 cards of your deck,ORACLE_SIGHT.png
Haxxor,Facial Recognition Scan,First team to get a picture of an opposing player's face gets to choose two cards from the opposing hand to be revealed. Start when both sides have their cameras ready,FACIAL_RECOGNITION_SCAN.png
Haxxor,Manifestation,Look at the top 3 cards of the deck and rearrange them in any order,MANIFESTATION.png
Haxxor,Hyperscan,Force sentinel to reveal location of one trap,HYPERSCAN.png
Haxxor,Partition Swap,Choose a card from a sentinel's hand for them to redraw. Sentinels shuffle their deck. You may not see the contents of their cards,PARTITION_SWAP.png
Haxxor,Enlightenment,<Ultimate> Sentinels now set trap cards face up. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one,ENLIGHTENMENT.png
Haxxor,Digital Companion,<Ultimate> Any digital companions at play are now viewable by all. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one,DIGITAL_COMPANION.png
Haxxor,Deadline Extension,REACTION: When your character suffers fatal damage. reset your health to 1. this card is then deleted,DEADLINE_EXTENSION.png
Haxxor,Greedy Algorithm,Draw 2 cards. then discard 1 card,GREEDY_ALGORITHM.png
Haxxor,Rewind,Teleport to a Haxxor hex. and heal 3 hearts,REWIND.png
Haxxor,Lag Spike,Regain 1 heart next turn,LAG_SPIKE.png
Haxxor,All Charged Up!,REACTION: Check your phones! If sentinel attacks. whoever has the lower battery level takes the damage.,ALL_CHARGED_UP.png
Haxxor,Medic!,Select 1 Haxxor. Heal 1 heart to that haxxor,MEDIC.png
Haxxor,Recharge,Regain 2 Hearts Instantly,RECHARGE.png
Haxxor,Cautious Cross,REACTION: Negates effect of a non-ultimate trap,CAUTIOUS_CROSS.png
Haxxor,Reflect,REACTION: When your character is attacked. negate the damage ,REFLECT.png
Haxxor,Undying Bulwark,"<Ultimate> REACTION: When your character suffers fatal damage. this card automatically resets your health to 1 and you gain the effect ""Cannot be damaged"" for 2 sentinel turns. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one",UNDYING_BULWARK.png
Haxxor,Stand Strong,<Ultimate> Select a fallen digital. they revive with 2 Hearts. All other Ultimate Haxxor Cards now have no effect. discard and redraw if you draw one,STAND_STRONG.png
